1779957904.566386 server started (1108490): version 3.6, socket /home/skynet/sockets/tmux-1000/debug-test, protocol 8
1779957904.566434 on Linux 7.0.0-15-generic #15-Ubuntu SMP PREEMPT_DYNAMIC Wed Apr 22 16:06:43 UTC 2026
1779957904.566450 using libevent 2.1.12-stable poll
1779957904.566459 using ncurses 6.5 20251123
1779957904.566956 input_key_build: 0x20000010e26c (C-PPage) is \033[5;5~
1779957904.566961 input_key_build: 0x20000010e26e (C-Up) is \033[1;5A
1779957904.566967 input_key_build: 0x20000010e26f (C-Down) is \033[1;5B
1779957904.566974 input_key_build: 0x20000010e270 (C-Left) is \033[1;5D
1779957904.566980 input_key_build: 0x20000010e271 (C-Right) is \033[1;5C
1779957904.566985 input_key_build: 0x40000010e25b (S-F1) is \033[1;2P
1779957904.566992 input_key_build: 0x40000010e25c (S-F2) is \033[1;2Q
1779957904.566998 input_key_build: 0x40000010e25d (S-F3) is \033[1;2R
1779957904.567006 input_key_build: 0x40000010e25e (S-F4) is \033[1;2S
1779957904.567011 input_key_build: 0x40000010e25f (S-F5) is \033[15;2~
1779957904.567019 input_key_build: 0x40000010e260 (S-F6) is \033[17;2~
1779957904.567026 input_key_build: 0x40000010e261 (S-F7) is \033[18;2~
1779957904.567035 input_key_build: 0x40000010e262 (S-F8) is \033[19;2~
1779957904.567041 input_key_build: 0x40000010e263 (S-F9) is \033[20;2~
1779957904.567048 input_key_build: 0x40000010e264 (S-F10) is \033[21;2~
1779957904.567053 input_key_build: 0x40000010e265 (S-F11) is \033[23;2~
1779957904.567061 input_key_build: 0x40000010e266 (S-F12) is \033[24;2~
1779957904.567068 input_key_build: 0x40000010e267 (S-IC) is \033[2;2~
1779957904.567074 input_key_build: 0x40000010e268 (S-DC) is \033[3;2~
1779957904.567080 input_key_build: 0x40000010e269 (S-Home) is \033[1;2H
1779957904.567085 input_key_build: 0x40000010e26a (S-End) is \033[1;2F
1779957904.567092 input_key_build: 0x40000010e26b (S-NPage) is \033[6;2~
1779957904.567098 input_key_build: 0x40000010e26c (S-PPage) is \033[5;2~
1779957904.567104 input_key_build: 0x40000010e26e (S-Up) is \033[1;2A
1779957904.567109 input_key_build: 0x40000010e26f (S-Down) is \033[1;2B
1779957904.567117 input_key_build: 0x40000010e270 (S-Left) is \033[1;2D
1779957904.567122 input_key_build: 0x40000010e271 (S-Right) is \033[1;2C
1779957904.567127 input_key_build: 0x60000010e25b (C-S-F1) is \033[1;6P
1779957904.567136 input_key_build: 0x60000010e25c (C-S-F2) is \033[1;6Q
1779957904.567143 input_key_build: 0x60000010e25d (C-S-F3) is \033[1;6R
1779957904.567148 input_key_build: 0x60000010e25e (C-S-F4) is \033[1;6S
1779957904.567156 input_key_build: 0x60000010e25f (C-S-F5) is \033[15;6~
1779957904.567163 input_key_build: 0x60000010e260 (C-S-F6) is \033[17;6~
1779957904.567169 input_key_build: 0x60000010e261 (C-S-F7) is \033[18;6~
1779957904.567174 input_key_build: 0x60000010e262 (C-S-F8) is \033[19;6~
1779957904.567181 input_key_build: 0x60000010e263 (C-S-F9) is \033[20;6~
1779957904.567188 input_key_build: 0x60000010e264 (C-S-F10) is \033[21;6~
1779957904.567195 input_key_build: 0x60000010e265 (C-S-F11) is \033[23;6~
1779957904.567200 input_key_build: 0x60000010e266 (C-S-F12) is \033[24;6~
1779957904.567205 input_key_build: 0x60000010e267 (C-S-IC) is \033[2;6~
1779957904.567212 input_key_build: 0x60000010e268 (C-S-DC) is \033[3;6~
1779957904.567219 input_key_build: 0x60000010e269 (C-S-Home) is \033[1;6H
1779957904.567225 input_key_build: 0x60000010e26a (C-S-End) is \033[1;6F
1779957904.567232 input_key_build: 0x60000010e26b (C-S-NPage) is \033[6;6~
1779957904.567238 input_key_build: 0x60000010e26c (C-S-PPage) is \033[5;6~
1779957904.567247 input_key_build: 0x60000010e26e (C-S-Up) is \033[1;6A
1779957904.567253 input_key_build: 0x60000010e26f (C-S-Down) is \033[1;6B
1779957904.567260 input_key_build: 0x60000010e270 (C-S-Left) is \033[1;6D
1779957904.567265 input_key_build: 0x60000010e271 (C-S-Right) is \033[1;6C
1779957904.567273 input_key_build: 0x200000010e272 (KP/[K]) is \033Oo
1779957904.567281 input_key_build: 0x200000010e273 (KP*[K]) is \033Oj
1779957904.567288 input_key_build: 0x200000010e274 (KP-[K]) is \033Om
1779957904.567293 input_key_build: 0x200000010e275 (KP7[K]) is \033Ow
1779957904.567298 input_key_build: 0x200000010e276 (KP8[K]) is \033Ox
1779957904.567306 input_key_build: 0x200000010e277 (KP9[K]) is \033Oy
1779957904.567313 input_key_build: 0x200000010e278 (KP+[K]) is \033Ok
1779957904.567320 input_key_build: 0x200000010e279 (KP4[K]) is \033Ot
1779957904.567331 input_key_build: 0x200000010e27a (KP5[K]) is \033Ou
1779957904.567338 input_key_build: 0x200000010e27b (KP6[K]) is \033Ov
1779957904.567345 input_key_build: 0x200000010e27c (KP1[K]) is \033Oq
1779957904.567350 input_key_build: 0x200000010e27d (KP2[K]) is \033Or
1779957904.567359 input_key_build: 0x200000010e27e (KP3[K]) is \033Os
1779957904.567365 input_key_build: 0x200000010e27f (KPEnter[K]) is \033OM
1779957904.567373 input_key_build: 0x200000010e280 (KP0[K]) is \033Op
1779957904.567380 input_key_build: 0x200000010e281 (KP.[K]) is \033On
1779957904.567385 input_key_build: 0x400000010e26e (Up[C]) is \033OA
1779957904.567390 input_key_build: 0x400000010e26f (Down[C]) is \033OB
1779957904.567396 input_key_build: 0x400000010e270 (Left[C]) is \033OD
1779957904.567404 input_key_build: 0x400000010e271 (Right[C]) is \033OC
1779957904.567409 input_key_build: 0x800000010e003 (PasteStart[I]) is \033[200~
1779957904.567419 input_key_build: 0x800000010e004 (PasteEnd[I]) is \033[201~
1779957904.567426 input_key_build: 0x810000010e25b (M-F1[I]) is \033[1;3P
1779957904.567431 input_key_build: 0x810000010e25c (M-F2[I]) is \033[1;3Q
1779957904.567437 input_key_build: 0x810000010e25d (M-F3[I]) is \033[1;3R
1779957904.567442 input_key_build: 0x810000010e25e (M-F4[I]) is \033[1;3S
1779957904.567452 input_key_build: 0x810000010e25f (M-F5[I]) is \033[15;3~
1779957904.567457 input_key_build: 0x810000010e260 (M-F6[I]) is \033[17;3~
1779957904.567464 input_key_build: 0x810000010e261 (M-F7[I]) is \033[18;3~
1779957904.567470 input_key_build: 0x810000010e262 (M-F8[I]) is \033[19;3~
1779957904.567479 input_key_build: 0x810000010e263 (M-F9[I]) is \033[20;3~
1779957904.567484 input_key_build: 0x810000010e264 (M-F10[I]) is \033[21;3~
1779957904.567490 input_key_build: 0x810000010e265 (M-F11[I]) is \033[23;3~
1779957904.567496 input_key_build: 0x810000010e266 (M-F12[I]) is \033[24;3~
1779957904.567504 input_key_build: 0x810000010e267 (M-IC[I]) is \033[2;3~
1779957904.567509 input_key_build: 0x810000010e268 (M-DC[I]) is \033[3;3~
1779957904.567516 input_key_build: 0x810000010e269 (M-Home[I]) is \033[1;3H
1779957904.567522 input_key_build: 0x810000010e26a (M-End[I]) is \033[1;3F
1779957904.567531 input_key_build: 0x810000010e26b (M-NPage[I]) is \033[6;3~
1779957904.567579 input_key_build: 0x810000010e26c (M-PPage[I]) is \033[5;3~
1779957904.567587 input_key_build: 0x810000010e26e (M-Up[I]) is \033[1;3A
1779957904.567596 input_key_build: 0x810000010e26f (M-Down[I]) is \033[1;3B
1779957904.567601 input_key_build: 0x810000010e270 (M-Left[I]) is \033[1;3D
1779957904.567608 input_key_build: 0x810000010e271 (M-Right[I]) is \033[1;3C
1779957904.567614 input_key_build: 0x830000010e25b (C-M-F1[I]) is \033[1;7P
1779957904.567622 input_key_build: 0x830000010e25c (C-M-F2[I]) is \033[1;7Q
1779957904.567629 input_key_build: 0x830000010e25d (C-M-F3[I]) is \033[1;7R
1779957904.567635 input_key_build: 0x830000010e25e (C-M-F4[I]) is \033[1;7S
1779957904.567640 input_key_build: 0x830000010e25f (C-M-F5[I]) is \033[15;7~
1779957904.567648 input_key_build: 0x830000010e260 (C-M-F6[I]) is \033[17;7~
1779957904.567653 input_key_build: 0x830000010e261 (C-M-F7[I]) is \033[18;7~
1779957904.567661 input_key_build: 0x830000010e262 (C-M-F8[I]) is \033[19;7~
1779957904.567669 input_key_build: 0x830000010e263 (C-M-F9[I]) is \033[20;7~
1779957904.567674 input_key_build: 0x830000010e264 (C-M-F10[I]) is \033[21;7~
1779957904.567683 input_key_build: 0x830000010e265 (C-M-F11[I]) is \033[23;7~
1779957904.567688 input_key_build: 0x830000010e266 (C-M-F12[I]) is \033[24;7~
1779957904.567695 input_key_build: 0x830000010e267 (C-M-IC[I]) is \033[2;7~
1779957904.567700 input_key_build: 0x830000010e268 (C-M-DC[I]) is \033[3;7~
1779957904.567705 input_key_build: 0x830000010e269 (C-M-Home[I]) is \033[1;7H
1779957904.567710 input_key_build: 0x830000010e26a (C-M-End[I]) is \033[1;7F
1779957904.567719 input_key_build: 0x830000010e26b (C-M-NPage[I]) is \033[6;7~
1779957904.567725 input_key_build: 0x830000010e26c (C-M-PPage[I]) is \033[5;7~
1779957904.567732 input_key_build: 0x830000010e26e (C-M-Up[I]) is \033[1;7A
1779957904.567741 input_key_build: 0x830000010e26f (C-M-Down[I]) is \033[1;7B
1779957904.567749 input_key_build: 0x830000010e270 (C-M-Left[I]) is \033[1;7D
1779957904.567754 input_key_build: 0x830000010e271 (C-M-Right[I]) is \033[1;7C
1779957904.567761 input_key_build: 0x850000010e25b (M-S-F1[I]) is \033[1;4P
1779957904.567768 input_key_build: 0x850000010e25c (M-S-F2[I]) is \033[1;4Q
1779957904.567775 input_key_build: 0x850000010e25d (M-S-F3[I]) is \033[1;4R
1779957904.567780 input_key_build: 0x850000010e25e (M-S-F4[I]) is \033[1;4S
1779957904.567787 input_key_build: 0x850000010e25f (M-S-F5[I]) is \033[15;4~
1779957904.567792 input_key_build: 0x850000010e260 (M-S-F6[I]) is \033[17;4~
1779957904.567800 input_key_build: 0x850000010e261 (M-S-F7[I]) is \033[18;4~
1779957904.567806 input_key_build: 0x850000010e262 (M-S-F8[I]) is \033[19;4~
1779957904.567813 input_key_build: 0x850000010e263 (M-S-F9[I]) is \033[20;4~
1779957904.567819 input_key_build: 0x850000010e264 (M-S-F10[I]) is \033[21;4~
1779957904.567827 input_key_build: 0x850000010e265 (M-S-F11[I]) is \033[23;4~
1779957904.567833 input_key_build: 0x850000010e266 (M-S-F12[I]) is \033[24;4~
1779957904.567841 input_key_build: 0x850000010e267 (M-S-IC[I]) is \033[2;4~
1779957904.567846 input_key_build: 0x850000010e268 (M-S-DC[I]) is \033[3;4~
1779957904.567851 input_key_build: 0x850000010e269 (M-S-Home[I]) is \033[1;4H
1779957904.567857 input_key_build: 0x850000010e26a (M-S-End[I]) is \033[1;4F
1779957904.567862 input_key_build: 0x850000010e26b (M-S-NPage[I]) is \033[6;4~
1779957904.567871 input_key_build: 0x850000010e26c (M-S-PPage[I]) is \033[5;4~
1779957904.567877 input_key_build: 0x850000010e26e (M-S-Up[I]) is \033[1;4A
1779957904.567885 input_key_build: 0x850000010e26f (M-S-Down[I]) is \033[1;4B
1779957904.567891 input_key_build: 0x850000010e270 (M-S-Left[I]) is \033[1;4D
1779957904.567898 input_key_build: 0x850000010e271 (M-S-Right[I]) is \033[1;4C
1779957904.567904 input_key_build: 0x870000010e25b (C-M-S-F1[I]) is \033[1;8P
1779957904.567912 input_key_build: 0x870000010e25c (C-M-S-F2[I]) is \033[1;8Q
1779957904.567919 input_key_build: 0x870000010e25d (C-M-S-F3[I]) is \033[1;8R
1779957904.567927 input_key_build: 0x870000010e25e (C-M-S-F4[I]) is \033[1;8S
1779957904.567933 input_key_build: 0x870000010e25f (C-M-S-F5[I]) is \033[15;8~
1779957904.567938 input_key_build: 0x870000010e260 (C-M-S-F6[I]) is \033[17;8~
1779957904.567945 input_key_build: 0x870000010e261 (C-M-S-F7[I]) is \033[18;8~
1779957904.567950 input_key_build: 0x870000010e262 (C-M-S-F8[I]) is \033[19;8~
1779957904.567956 input_key_build: 0x870000010e263 (C-M-S-F9[I]) is \033[20;8~
1779957904.567961 input_key_build: 0x870000010e264 (C-M-S-F10[I]) is \033[21;8~
1779957904.567970 input_key_build: 0x870000010e265 (C-M-S-F11[I]) is \033[23;8~
1779957904.567975 input_key_build: 0x870000010e266 (C-M-S-F12[I]) is \033[24;8~
1779957904.567984 input_key_build: 0x870000010e267 (C-M-S-IC[I]) is \033[2;8~
1779957904.567988 input_key_build: 0x870000010e268 (C-M-S-DC[I]) is \033[3;8~
1779957904.567996 input_key_build: 0x870000010e269 (C-M-S-Home[I]) is \033[1;8H
1779957904.568001 input_key_build: 0x870000010e26a (C-M-S-End[I]) is \033[1;8F
1779957904.568008 input_key_build: 0x870000010e26b (C-M-S-NPage[I]) is \033[6;8~
1779957904.568015 input_key_build: 0x870000010e26c (C-M-S-PPage[I]) is \033[5;8~
1779957904.568021 input_key_build: 0x870000010e26e (C-M-S-Up[I]) is \033[1;8A
1779957904.568027 input_key_build: 0x870000010e26f (C-M-S-Down[I]) is \033[1;8B
1779957904.568034 input_key_build: 0x870000010e270 (C-M-S-Left[I]) is \033[1;8D
1779957904.568039 input_key_build: 0x870000010e271 (C-M-S-Right[I]) is \033[1;8C
1779957904.568070 yylex_token: end at WS
1779957904.568079 yylex_token: bind
1779957904.568086 yylex_token: end at WS
1779957904.568094 yylex_token: -N
1779957904.568101 yylex_token: end at WS
1779957904.568106 yylex_token: Send the prefix key
1779957904.568111 yylex_token: end at WS
1779957904.568116 yylex_token: C-b
1779957904.568121 yylex_token: end at WS
1779957904.568128 yylex_token: send-prefix
1779957904.568141 cmd_parse_build_commands 0:0: bind
1779957904.568146 cmd_parse_build_commands 0:1: -N
1779957904.568153 cmd_parse_build_commands 0:2: Send the prefix key
1779957904.568159 cmd_parse_build_commands 0:3: C-b
1779957904.568168 cmd_parse_build_commands 0:4 0:0: send-prefix
1779957904.568184 cmd_parse_build_commands 0:0: send-prefix
1779957904.568194 args_parse: flags end at 1 of 1
1779957904.568205 cmd_parse_build_commands: send-prefix
1779957904.568210 args_parse_flags: next -N
1779957904.568218 args_parse_flag_argument: -N = Send the prefix key
1779957904.568224 args_parse_flags: next C-b
1779957904.568229 args_parse: flags end at 3 of 5
1779957904.568236 args_parse: 3 = C-b (type STRING)
1779957904.568241 args_parse: 4 = send-prefix (type COMMANDS)
1779957904.568273 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1779957904.568282 cmdq_get_command: [bind-key/0x7edda1698400] group 10
1779957904.568289 cmdq_append <global>: [bind-key/0x7edda1698400]
1779957904.568297 yylex_token: end at WS
1779957904.568302 yylex_token: bind
1779957904.568310 yylex_token: end at WS
1779957904.568317 yylex_token: -N
1779957904.568322 yylex_token: end at WS
1779957904.568330 yylex_token: Rotate through the panes
1779957904.568335 yylex_token: end at WS
1779957904.568343 yylex_token: C-o
1779957904.568350 yylex_token: end at WS
1779957904.568355 yylex_token: rotate-window
1779957904.568361 cmd_parse_build_commands 0:0: bind
1779957904.568367 cmd_parse_build_commands 0:1: -N
1779957904.568372 cmd_parse_build_commands 0:2: Rotate through the panes
1779957904.568379 cmd_parse_build_commands 0:3: C-o
1779957904.568386 cmd_parse_build_commands 0:4 0:0: rotate-window
1779957904.568392 cmd_parse_build_commands 0:0: rotate-window
1779957904.568402 args_parse: flags end at 1 of 1
1779957904.568408 cmd_parse_build_commands: rotate-window
1779957904.568417 args_parse_flags: next -N
1779957904.568423 args_parse_flag_argument: -N = Rotate through the panes
1779957904.568428 args_parse_flags: next C-o
1779957904.568433 args_parse: flags end at 3 of 5
1779957904.568438 args_parse: 3 = C-o (type STRING)
1779957904.568445 args_parse: 4 = rotate-window (type COMMANDS)
1779957904.568457 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1779957904.568463 cmdq_get_command: [bind-key/0x7edda1698500] group 18
1779957904.568468 cmdq_append <global>: [bind-key/0x7edda1698500]
1779957904.568474 yylex_token: end at WS
1779957904.568482 yylex_token: bind
1779957904.568487 yylex_token: end at WS
1779957904.568492 yylex_token: -N
1779957904.568498 yylex_token: end at WS
1779957904.568506 yylex_token: Suspend the current client
1779957904.568511 yylex_token: end at WS
1779957904.568517 yylex_token: C-z
1779957904.568523 yylex_token: end at WS
1779957904.568530 yylex_token: suspend-client
1779957904.568542 cmd_parse_build_commands 0:0: bind
1779957904.568592 cmd_parse_build_commands 0:1: -N
1779957904.568599 cmd_parse_build_commands 0:2: Suspend the current client
1779957904.568604 cmd_parse_build_commands 0:3: C-z
1779957904.568613 cmd_parse_build_commands 0:4 0:0: suspend-client
1779957904.568619 cmd_parse_build_commands 0:0: suspend-client
1779957904.568627 args_parse: flags end at 1 of 1
1779957904.568634 cmd_parse_build_commands: suspend-client
1779957904.568640 args_parse_flags: next -N
1779957904.568645 args_parse_flag_argument: -N = Suspend the current client
1779957904.568653 args_parse_flags: next C-z
1779957904.568659 args_parse: flags end at 3 of 5
1779957904.568666 args_parse: 3 = C-z (type STRING)
1779957904.568671 args_parse: 4 = suspend-client (type COMMANDS)
1779957904.568679 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1779957904.568689 cmdq_get_command: [bind-key/0x7edda1698600] group 26
1779957904.568694 cmdq_append <global>: [bind-key/0x7edda1698600]
1779957904.568699 yylex_token: end at WS
1779957904.568706 yylex_token: bind
1779957904.568711 yylex_token: end at WS
1779957904.568716 yylex_token: -N
1779957904.568724 yylex_token: end at WS
1779957904.568734 yylex_token: Select next layout
1779957904.568739 yylex_token: end at WS
1779957904.568745 yylex_token: Space
1779957904.568755 yylex_token: end at WS
1779957904.568760 yylex_token: next-layout
1779957904.568768 cmd_parse_build_commands 0:0: bind
1779957904.568774 cmd_parse_build_commands 0:1: -N
1779957904.568781 cmd_parse_build_commands 0:2: Select next layout
1779957904.568786 cmd_parse_build_commands 0:3: Space
1779957904.568791 cmd_parse_build_commands 0:4 0:0: next-layout
1779957904.568798 cmd_parse_build_commands 0:0: next-layout
1779957904.568806 args_parse: flags end at 1 of 1
1779957904.568815 cmd_parse_build_commands: next-layout
1779957904.568821 args_parse_flags: next -N
1779957904.568829 args_parse_flag_argument: -N = Select next layout
1779957904.568836 args_parse_flags: next Space
1779957904.568843 args_parse: flags end at 3 of 5
1779957904.568850 args_parse: 3 = Space (type STRING)
1779957904.568856 args_parse: 4 = next-layout (type COMMANDS)
1779957904.568863 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1779957904.568870 cmdq_get_command: [bind-key/0x7edda1698700] group 34
1779957904.568877 cmdq_append <global>: [bind-key/0x7edda1698700]
1779957904.568884 yylex_token: end at WS
1779957904.568890 yylex_token: bind
1779957904.568898 yylex_token: end at WS
1779957904.568903 yylex_token: -N
1779957904.568910 yylex_token: end at WS
1779957904.568916 yylex_token: Break pane to a new window
1779957904.568924 yylex_token: end at WS
1779957904.568929 yylex_token: !
1779957904.568936 yylex_token: end at WS
1779957904.568942 yylex_token: break-pane
1779957904.568951 cmd_parse_build_commands 0:0: bind
1779957904.568957 cmd_parse_build_commands 0:1: -N
1779957904.568964 cmd_parse_build_commands 0:2: Break pane to a new window
1779957904.568971 cmd_parse_build_commands 0:3: !
1779957904.568977 cmd_parse_build_commands 0:4 0:0: break-pane
1779957904.568983 cmd_parse_build_commands 0:0: break-pane
1779957904.568992 args_parse: flags end at 1 of 1
1779957904.568999 cmd_parse_build_commands: break-pane
1779957904.569004 args_parse_flags: next -N
1779957904.569010 args_parse_flag_argument: -N = Break pane to a new window
1779957904.569018 args_parse_flags: next !
1779957904.569023 args_parse: flags end at 3 of 5
1779957904.569030 args_parse: 3 = ! (type STRING)
1779957904.569036 args_parse: 4 = break-pane (type COMMANDS)
1779957904.569046 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1779957904.569054 cmdq_get_command: [bind-key/0x7edda1698800] group 42
1779957904.569061 cmdq_append <global>: [bind-key/0x7edda1698800]
1779957904.569068 yylex_token: end at WS
1779957904.569073 yylex_token: bind
1779957904.569080 yylex_token: end at WS
1779957904.569087 yylex_token: -N
1779957904.569093 yylex_token: end at WS
1779957904.569098 yylex_token: Split window vertically
1779957904.569104 yylex_token: end at WS
1779957904.569110 yylex_token: "
1779957904.569116 yylex_token: end at WS
1779957904.569121 yylex_token: split-window
1779957904.569128 cmd_parse_build_commands 0:0: bind
1779957904.569135 cmd_parse_build_commands 0:1: -N
1779957904.569142 cmd_parse_build_commands 0:2: Split window vertically
1779957904.569147 cmd_parse_build_commands 0:3: "
1779957904.569153 cmd_parse_build_commands 0:4 0:0: split-window
1779957904.569160 cmd_parse_build_commands 0:0: split-window
1779957904.569167 args_parse: flags end at 1 of 1
1779957904.569172 cmd_parse_build_commands: split-window
1779957904.569178 args_parse_flags: next -N
1779957904.569185 args_parse_flag_argument: -N = Split window vertically
1779957904.569190 args_parse_flags: next "
1779957904.569196 args_parse: flags end at 3 of 5
1779957904.569203 args_parse: 3 = " (type STRING)
1779957904.569210 args_parse: 4 = split-window (type COMMANDS)
1779957904.569217 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1779957904.569223 cmdq_get_command: [bind-key/0x7edda1698900] group 50
1779957904.569231 cmdq_append <global>: [bind-key/0x7edda1698900]
1779957904.569241 yylex_token: end at WS
1779957904.569246 yylex_token: bind
1779957904.569253 yylex_token: end at WS
1779957904.569258 yylex_token: -N
1779957904.569266 yylex_token: end at WS
1779957904.569271 yylex_token: List all paste buffers
1779957904.569281 yylex_token: end at WS
1779957904.569286 yylex_token: #
1779957904.569293 yylex_token: end at WS
1779957904.569300 yylex_token: list-buffers
1779957904.569307 cmd_parse_build_commands 0:0: bind
1779957904.569312 cmd_parse_build_commands 0:1: -N
1779957904.569319 cmd_parse_build_commands 0:2: List all paste buffers
1779957904.569326 cmd_parse_build_commands 0:3: #
1779957904.569333 cmd_parse_build_commands 0:4 0:0: list-buffers
1779957904.569339 cmd_parse_build_commands 0:0: list-buffers
1779957904.569347 args_parse: flags end at 1 of 1
1779957904.569354 cmd_parse_build_commands: list-buffers
1779957904.569360 args_parse_flags: next -N
1779957904.569365 args_parse_flag_argument: -N = List all paste buffers
1779957904.569377 args_parse_flags: next #
1779957904.569383 args_parse: flags end at 3 of 5
1779957904.569388 args_parse: 3 = # (type STRING)
1779957904.569395 args_parse: 4 = list-buffers (type COMMANDS)
1779957904.569402 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1779957904.569408 cmdq_get_command: [bind-key/0x7edda1698a00] group 58
1779957904.569418 cmdq_append <global>: [bind-key/0x7edda1698a00]
1779957904.569425 yylex_token: end at WS
1779957904.569432 yylex_token: bind
1779957904.569437 yylex_token: end at WS
1779957904.569445 yylex_token: -N
1779957904.569451 yylex_token: end at WS
1779957904.569458 yylex_token: Rename current session
1779957904.569465 yylex_token: end at WS
1779957904.569470 yylex_token: $
1779957904.569479 yylex_token: end at WS
1779957904.569484 yylex_token: command-prompt
1779957904.569493 yylex_token: end at WS
1779957904.569499 yylex_token: -I#S
1779957904.569505 yylex_token: end at WS
1779957904.569510 yylex_token: rename-session
1779957904.569517 yylex_token: end at WS
1779957904.569522 yylex_token: --
1779957904.569531 yylex_token: end at WS
1779957904.569562 yylex_token: %%
1779957904.569570 cmd_parse_build_commands 0:0: bind
